stars;forks;commits;branches;pull requests all;pull requests open;pull requests closed;contributors;watchers;issues;topics;license name;;
0;0;27;1;0;0;0;1;0;0;course-materials;No License;;
2;0;79;1;0;0;0;1;2;0;teaching-materials;No License;;
0;0;31;1;0;0;0;1;0;0;course-materials;GNU General Public License v2.0;;
0;0;24;1;0;0;0;1;0;0;open-educational-resources;No License;;
191;115;231;4;16;1;15;3;191;2;textbook;Other;No License description;
1;0;91;2;0;0;0;1;1;1;teaching-materials;Other;No License description;
0;0;47;1;0;0;0;1;0;0;university-course;GNU General Public License v3.0;;
1;0;127;3;7;0;7;2;1;3;self-learning;No License;;
2;1;30;1;0;0;0;1;2;1;educational-materials;No License;;
0;0;13;1;0;0;0;1;0;0;educational-materials;No License;;
4;0;102;1;0;0;0;1;4;8;educational-materials;No License;;
4;23;26;1;1;0;1;1;4;0;self-learning;MIT License;;
8;9;285;1;0;0;0;1;8;0;teaching-materials;Other;No License description;
0;0;7;1;0;0;0;1;0;0;university-course;No License;;
0;0;74;1;0;0;0;1;0;0;lecture-material;No License;;
18;5;5;1;0;0;0;1;18;1;textbook;No License;;
0;0;9;1;0;0;0;1;0;0;workshop-materials;No License;;
0;0;8;1;0;0;0;1;0;0;workshop-materials;MIT License;;
0;0;2;1;0;0;0;1;0;0;educational-materials;No License;;
55;24;93;1;3;0;3;4;55;0;textbook;Other;No License description;
0;0;2;1;0;0;0;1;0;0;educational-materials;No License;;
13;6;226;1;31;0;31;11;13;3;teaching-materials;No License;;
0;0;31;1;0;0;0;1;0;0;lecture;No License;;
3;4;17;7;3;0;3;1;3;0;workshop-materials;No License;;
30;5;20;1;3;0;3;3;30;0;lecture;No License;;
13015;1534;481;4;76;10;66;29;13015;24;training-materials;Other;No License description;
3;1;26;1;0;0;0;1;3;0;mooc;No License;;
10;6;46;1;7;2;5;3;10;10;oer;No License;;
0;0;33;1;0;0;0;1;0;0;training-materials;No License;;
6;11;659;1;0;0;0;45;6;0;workshop-materials educational-resources educational-materials;No License;;
3;0;32;2;0;0;0;1;3;0;teaching-materials;GNU General Public License v3.0;;
1;0;1365;1;0;0;0;1;1;0;lecture;Creative Commons Attribution Share Alike 4.0 International;;
1;0;100;1;0;0;0;1;1;1;teaching-materials;GNU General Public License v3.0;;
10;5;1;1;0;0;0;1;10;0;teaching-materials;GNU General Public License v3.0;;
0;0;13;1;0;0;0;1;0;0;course-materials;MIT License;;
0;1;89;1;0;0;0;1;0;0;lecture;No License;;
17;25;11;1;0;0;0;1;17;0;teaching-materials workshop-materials;GNU General Public License v3.0;;
3;1;52;1;0;0;0;3;3;0;teaching-materials;No License;;
0;0;20;2;2;0;2;1;0;0;workshop-materials;Apache License 2.0;;
0;0;5;1;0;0;0;1;0;0;university-course;No License;;
0;1;3;1;0;0;0;1;0;0;educational-materials;No License;;
0;0;4;1;0;0;0;0;0;0;presentation-slides;MIT License;;
0;0;8;1;0;0;0;1;0;0;workshop-materials;No License;;
8;11;44;4;6;1;5;3;8;5;teaching-materials;No License;;
1;0;21;1;0;0;0;1;1;0;teaching-materials;No License;;
1;0;35;7;0;0;0;1;1;3;course-materials;No License;;
6;12;16;1;0;0;0;1;6;0;mooc moocs;No License;;
7;14;5;1;0;0;0;1;7;1;moocs mooc;No License;;
6;4;433;2;5;0;5;4;6;1;university-course;No License;;
2;6;538;2;0;0;0;3;2;0;university-course;No License;;
10;3;70;2;2;2;0;1;10;2;educational-materials educational-resources teaching-materials;GNU General Public License v3.0;;
1;0;11;1;0;0;0;1;1;0;presentation-slides;Creative Commons Attribution 4.0 International;;
1;0;2;1;0;0;0;1;1;0;course-materials;No License;;
0;0;3;1;0;0;0;1;0;0;workshop-materials;MIT License;;
2;0;58;1;0;0;0;1;2;0;workshop-materials;MIT License;;
0;11;37;1;10;7;3;3;0;7;course-materials;No License;;
0;0;159;1;0;0;0;1;0;0;university-course;No License;;
4;4;57;1;0;0;0;1;4;0;teaching-materials;No License;;
4;5;497;1;0;0;0;1;4;0;self-learning;No License;;
1;0;25;2;0;0;0;2;1;0;lecture;No License;;
1;1;253;6;9;5;4;1;1;5;university-coursework;No License;;
11;8;209;3;0;0;0;3;11;2;course-materials;Other;No License description;
0;1;3;1;0;0;0;1;0;0;university-course;No License;;
3;10;35;1;0;0;0;1;3;0;lecture;No License;;
1;0;18;1;0;0;0;0;1;0;lecture;No License;;
25;12;42;1;2;2;0;1;25;4;teaching-materials educational-materials workshop-materials;No License;;
29;16;66;1;2;0;2;2;29;1;teaching-materials educational-materials workshop-materials;No License;;
1;0;26;1;0;0;0;1;1;0;educational-resources;No License;;
2;0;7;1;0;0;0;1;2;0;course-materials;MIT License;;
0;3;14;1;0;0;0;1;0;0;teaching-materials;No License;;
2;8;36;6;7;5;2;2;2;5;course-material;MIT License;;
0;0;32;1;0;0;0;1;0;0;lecture-slides;No License;;
2;0;56;1;0;0;0;1;2;0;workshop-material;No License;;
4;8;121;3;0;0;0;2;4;0;workshop-materials training-materials;Other;No License description;
0;0;77;1;0;0;0;1;0;0;workshop-material;Other;No License description;
2;2;14;1;0;0;0;1;2;0;course-materials;Other;No License description;
2;1;5;2;0;0;0;1;2;0;teaching-materials;GNU General Public License v3.0;;
106;81;6;1;1;0;1;1;106;0;mooc;Apache License 2.0;;
0;0;31;1;0;0;0;1;0;0;moocs;No License;;
0;0;2;1;0;0;0;1;0;0;teaching-materials workshop-materials;ISC License;;
2;3;2;1;0;0;0;1;2;0;teaching-materials;GNU General Public License v3.0;;
12;7;25;2;1;0;1;1;12;0;textbook;No License;;
2;2;78;1;0;0;0;1;2;0;teaching-materials;No License;;
0;1;36;1;0;0;0;2;0;0;teaching-materials;GNU General Public License v3.0;;
18;12;189;3;0;0;0;4;18;0;training-materials;No License;;
50;30;70;1;0;0;0;1;50;0;textbook;Creative Commons Attribution Share Alike 4.0 International;;
14;10;75;1;3;0;3;4;14;0;oer;No License;;
1;3;48;1;0;0;0;2;1;0;course-materials;No License;;
10;14;128;1;0;0;0;1;10;0;university-course;No License;;
3;14;28;1;24;20;4;6;3;20;course-materials;No License;;
1;0;13;1;0;0;0;1;1;0;mooc;No License;;
0;0;6;1;0;0;0;1;0;0;university-course;No License;;
0;0;39;1;0;0;0;1;0;0;training-materials;No License;;
6;0;16;2;2;0;2;1;6;0;training-materials;No License;;
2;3;18;1;0;0;0;1;2;0;workshop-materials;Apache License 2.0;;
16;3;31;1;0;0;0;1;16;3;workshop-materials;Apache License 2.0;;
0;0;11;1;0;0;0;1;0;0;training-materials;No License;;
0;1;22;1;0;0;0;1;0;0;training-materials;No License;;
0;0;4;1;0;0;0;1;0;0;lecture teaching-materials;No License;;
0;0;41;2;1;0;1;1;0;0;course-materials;Creative Commons Zero v1.0 Universal;;
0;0;2;1;0;0;0;1;0;0;educational-materials;No License;;
0;0;2;1;0;0;0;1;0;0;educational-materials;No License;;
0;0;10;1;0;0;0;2;0;0;lecture;No License;;
13;9;9;1;0;0;0;1;13;0;training-materials training-material;MIT License;;
322;36;2243;2;8;0;8;5;322;4;course-materials;No License;;
69;129;248;4;18;1;17;6;69;2;course-materials;Other;No License description;
0;1;3;3;0;0;0;1;0;0;teaching-materials;No License;;
2;11;30;1;20;2;18;5;2;5;self-learning;No License;;
1;0;47;1;0;0;0;1;1;0;mooc;MIT License;;
0;0;23;1;0;0;0;1;0;0;learning-materials;No License;;
40;17;615;17;81;2;79;7;40;22;textbook;Creative Commons Attribution Share Alike 4.0 International;;
0;0;39;1;0;0;0;1;0;0;oer open-educational-resources;No License;;
5;1;10;4;0;0;0;2;5;0;training-materials;No License;;
0;0;8;2;0;0;0;1;0;0;lecture;GNU General Public License v3.0;;
3;1;4;1;1;0;1;2;3;0;textbook;No License;;
5;3;265;3;5;1;4;3;5;1;training-materials;No License;;
0;0;23;5;5;2;3;2;0;2;presentation-slides;No License;;
0;0;19;1;0;0;0;1;0;0;training-materials;MIT License;;
0;0;4;1;0;0;0;1;0;0;teaching-materials;No License;;
11;20;170;2;6;0;6;5;11;0;textbook;No License;;
1;0;6;1;0;0;0;1;1;0;oer;No License;;
0;0;14;1;0;0;0;1;0;0;university-course;No License;;
1;0;5;1;0;0;0;2;1;0;university-course;No License;;
5;1;834;2;0;0;0;1;5;3;university-course;MIT License;;
0;0;4;1;0;0;0;1;0;0;course-materials;No License;;
11;11;89;1;2;0;2;2;11;0;course-materials;No License;;
38;12;50;2;2;0;2;1;38;0;course-materials;No License;;
1;0;66;2;0;0;0;1;1;0;course-materials;No License;;
1;0;3;1;0;0;0;0;1;0;course-materials;No License;;
8;3;73;1;4;0;4;11;8;0;teaching-materials;MIT License;;
32;79;111;1;13;0;13;6;32;0;course-materials;Other;No License description;
87;51;74;1;1;0;1;2;87;12;course-materials;MIT License;;
